trial_id,sign_name,time_ms,flex1,flex2,flex3,flex4,flex5,ax,ay,az,gx,gy,gz
1,qwerty,0.0,360,1211,544,586,1686,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,qwerty,19.0,1443,1558,372,1794,1050,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,qwerty,38.0,390,375,1583,439,1405,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,qwerty,57.0,1083,1542,1232,1432,758,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,qwerty,76.0,1614,1421,1294,873,603,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,qwerty,95.0,1200,1364,1183,1637,1429,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,qwerty,114.0,1236,1491,1009,1746,1325,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,qwerty,133.0,725,386,1639,1247,1297,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,qwerty,152.0,1350,397,471,1580,1795,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,qwerty,171.0,772,856,986,1064,938,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,qwerty,190.0,1654,584,1448,640,1674,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,qwerty,209.0,1087,1166,614,1652,847,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,qwerty,228.0,1513,1639,1149,698,1779,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,qwerty,247.0,489,1777,344,1059,1782,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,qwerty,266.0,899,367,931,1121,706,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,qwerty,285.0,695,557,1709,1744,338,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,qwerty,304.0,978,898,1429,338,1114,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,qwerty,323.0,1181,1058,576,445,1523,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,qwerty,342.0,333,544,891,829,1193,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,qwerty,361.0,1106,1504,939,609,1026,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,qwerty,380.0,485,481,1345,1163,1635,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,qwerty,399.0,670,1081,775,1038,473,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,qwerty,418.0,855,1364,1330,1331,520,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,qwerty,437.0,1773,719,1515,347,1000,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,qwerty,456.0,1275,693,1406,1320,1700,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,qwerty,475.0,1685,1499,1485,1295,1468,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,qwerty,494.0,1710,556,1602,490,991,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,qwerty,513.0,1693,1368,430,1493,555,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,qwerty,532.0,1004,1027,1583,436,1241,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,qwerty,551.0,1711,1724,894,503,725,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,qwerty,570.0,339,862,602,1595,1227,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,qwerty,589.0,917,458,1617,1396,560,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,qwerty,608.0,1405,1374,1351,474,951,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,qwerty,627.0,1492,668,1672,434,1275,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,qwerty,646.0,1772,809,550,1360,564,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,qwerty,665.0,1752,543,1054,919,1694,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,qwerty,684.0,853,1620,845,359,1279,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
1,qwerty,703.0,670,884,1493,1457,646,-0.0248,0.0248,-0.0279,-0.316,-0.595,0.036
